"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"Gulliver_43",296.283,24.558,60.718,0.091,0.075,7.76,12.38,2994,-2.925,0.05,-5.796,0.07,0.327,0.026,48,7,30,47,"Cl Gulliver 43",296.283,24.558
"Stock_1",294.146,25.163,60.287,2.076,0.742,8.62,8.1,416,6.061,0.284,0.201,0.221,2.456,0.044,168,6,24,54,"Cl Stock 1",294.146,25.163
"UBC_125",288.881,22.968,56.088,5.279,0.138,8.76,10.62,1332,-1.119,0.059,-4.102,0.044,0.792,0.026,38,2,14,28," ",288.881,22.968
"NGC_6800",291.664,25.008,59.07,3.975,0.18,8.61,10.03,1012,0.44,0.05,-0.922,0.096,0.954,0.015,23,2,7,16,"NGC 6800",291.664,25.008
"Gulliver_37",292.077,25.347,59.547,3.806,0.105,8.55,10.79,1438,-0.774,0.047,-3.726,0.055,0.657,0.018,45,1,13,37,"Cl Gulliver 37",292.077,25.347
"UPK_80",293.914,28.16,62.757,3.755,0.45,8.58,9.77,899,1.197,0.079,-1.02,0.096,1.14,0.028,33,0,6,15," ",293.914,28.16
"Czernik_41",297.754,25.29,62.024,-0.69,0.083,7.11,12.03,2543,-2.941,0.1,-6.15,0.09,0.371,0.043,178,37,129,179,"Cl Czernik 41",297.754,25.29
"FSR_0158",296.99,26.04,62.32,0.284,0.018,7.01,13.94,6131,-2.805,0.065,-5.427,0.062,0.173,0.019,14,14,14,14,"[FSR2007] 0158",296.99,26.04
"UPK_82",298.285,26.379,63.224,-0.523,0.425,7.91,8.72,554,2.319,0.169,-2.169,0.104,1.832,0.032,81,3,5,19," ",298.285,26.379
"UBC_129",299.05,26.448,63.625,-1.097,0.21,7.72,10.41,1208,-0.991,0.077,-4.376,0.083,0.849,0.022,114,9,31,76," ",299.05,26.448
"FSR_0165",299.546,26.761,64.115,-1.31,0.066,7.19,11.93,2429,-2.808,0.07,-5.605,0.045,0.393,0.035,60,8,35,59,"[FSR2007] 0165",299.546,26.761
"ASCC_105",295.548,27.366,62.825,2.063,0.648,7.87,8.77,567,1.429,0.117,-1.601,0.111,1.788,0.036,113,0,8,29,"[KPR2005] 105",295.548,27.366
"Kronberger_4",296.297,28.16,63.844,1.883,0.014,8.83,14.22,6984,-2.545,0.082,-4.894,0.132,0.138,0.063,60,3,57,61,"Kronberger 4",296.297,28.16
"UBC_130",298.06,27.437,64.012,0.179,0.106,7.44,11.82,2308,-2.098,0.043,-5.895,0.046,0.399,0.025,95,12,49,95," ",298.06,27.437
"UBC_132",299.271,28.445,65.422,-0.223,0.037,8.98,12.34,2942,-1.893,0.067,-4.837,0.061,0.296,0.035,82,4,54,85," ",299.271,28.445
"NGC_6834",298.052,29.399,65.692,1.183,0.05,7.28,12.58,3283,-2.492,0.066,-5.123,0.066,0.277,0.022,207,56,162,209,"NGC 6834",298.052,29.399
"Berkeley_83",300.356,28.645,66.095,-0.93,0.013,8.38,14.12,6663,-2.611,0.077,-4.671,0.151,0.116,0.095,30,19,30,30,"Cl Berkeley 83",300.356,28.645
"UPK_90",299.777,28.422,65.62,-0.603,0.174,7.69,9.49,791,-0.852,0.104,-5.754,0.098,1.242,0.047,41,0,4,12," ",299.777,28.422
"Roslund_4",301.199,29.196,66.954,-1.262,0.061,7.23,11.57,2059,-2.175,0.115,-5.11,0.132,0.437,0.025,31,4,19,30,"Cl Roslund 4",301.199,29.196
"FSR_0172",300.004,29.215,66.417,-0.367,0.023,8.2,12.64,3372,-2.55,0.044,-5.973,0.088,0.29,0.029,38,13,36,39,"[FSR2007] 0172",300.004,29.215
"UPK_93",300.324,29.971,67.207,-0.195,0.396,8.71,9.2,692,-0.84,0.102,-8.244,0.161,1.411,0.07,63,3,9,20," ",300.324,29.971
"Kronberger_52",299.536,30.883,67.625,0.851,0.024,8.61,13.49,4997,-2.648,0.041,-4.881,0.049,0.117,0.044,57,7,48,57,"Kronberger 52",299.536,30.883
"UBC_134",299.722,31.095,67.896,0.826,0.05,7.87,11.87,2370,-2.183,0.04,-6.006,0.05,0.372,0.026,57,3,28,56," ",299.722,31.095
