"Cluster","RA","DEC","GLON","GLAT","r50","agenn","dmnn","distpc","pmRA*","e_pmRA*","pmDE","e_pmDE","plx","e_plx","nb","nbB0","nbB2","nbB4","SimbadName","_RA_icrs","_DE_icrs"
"LP_1624",266.582,-29.175,359.877,-0.257,0.125,8.46,11.36,1866,1.718,0.079,-0.788,0.074,0.483,0.029,197,7,77,181," ",266.582,-29.175
"Trumpler_26",262.126,-29.487,357.53,2.855,0.072,8.4,10.91,1524,-0.9,0.079,-3.098,0.071,0.643,0.021,71,11,44,68,"Cl Trumpler 26",262.126,-29.487
"NGC_6520",270.856,-27.884,2.887,-2.846,0.028,8.09,11.1,1663,0.684,0.128,-0.472,0.131,0.561,0.054,44,5,16,34,"NGC 6520",270.856,-27.884
"UBC_336",267.98,-27.85,1.649,-0.621,0.03,,,,0.771,0.063,0.139,0.048,0.324,0.036,22,2,16,22," ",267.98,-27.85
"Czernik_37",268.32,-27.373,2.209,-0.644,0.039,8.58,11.82,2314,0.477,0.089,-0.463,0.102,0.37,0.048,196,15,93,194,"Cl Czernik 37",268.32,-27.373
"UBC_92",269.883,-26.655,3.53,-1.488,0.059,8.48,11.87,2370,2.122,0.061,0.398,0.058,0.404,0.036,105,12,66,103," ",269.883,-26.655
"Ruprecht_138",269.984,-24.665,5.302,-0.576,0.057,6.98,12.18,2732,0.264,0.07,-1.145,0.087,0.388,0.031,83,15,60,83,"Cl Ruprecht 138",269.984,-24.665
"UBC_337",271.722,-24.649,6.076,-1.937,0.077,7.62,11.1,1659,0.551,0.081,-0.759,0.076,0.566,0.023,40,2,20,40," ",271.722,-24.649
"UBC_338",271.535,-24.233,6.357,-1.594,0.08,8.37,11.02,1600,0.002,0.101,-1.79,0.056,0.606,0.038,38,1,18,35," ",271.535,-24.233
"UBC_93",268.575,-25.399,4.03,0.157,0.033,8.91,11.93,2432,-0.853,0.081,-1.92,0.039,0.311,0.03,52,1,36,52," ",268.575,-25.399
"UBC_94",269.643,-24.646,5.188,-0.284,0.102,8.45,10.53,1276,-1.633,0.044,-4.493,0.087,0.747,0.021,41,3,13,31," ",269.643,-24.646
"UBC_339",271.308,-23.308,7.085,-0.961,0.037,9,11.85,2346,0.618,0.036,-0.576,0.053,0.389,0.029,19,0,10,19," ",271.308,-23.308
"UBC_340",270.774,-22.649,7.398,-0.236,0.081,8.63,10.71,1383,0.678,0.04,-2.61,0.063,0.722,0.023,27,0,13,26," ",270.774,-22.649
"NGC_6531",271.036,-22.505,7.656,-0.348,0.118,7.11,10.33,1165,0.556,0.121,-1.418,0.135,0.801,0.037,158,10,44,92,"NGC 6531",271.036,-22.505
"ESO_589_26",270.56,-21.922,7.947,0.323,0.031,8.3,12.13,2666,-0.172,0.093,-2.73,0.059,0.331,0.04,81,17,53,80,"ESO 589-26",270.56,-21.922
"NGC_6469",268.277,-22.3,6.56,1.965,0.061,7.84,11.17,1710,0.688,0.091,0.773,0.055,0.583,0.036,48,4,18,43,"NGC 6469",268.277,-22.3
"UBC_95",268.252,-22.171,6.665,2.051,0.075,8.6,11.61,2101,-0.117,0.074,-1.294,0.074,0.503,0.033,83,10,50,83," ",268.252,-22.171
"UPK_4",281.361,-23.764,10.947,-9.381,0.263,8.44,9.59,829,-2.005,0.08,-6.417,0.113,1.268,0.042,73,3,17,39," ",281.361,-23.764
"UBC_572",280.417,-21.959,12.203,-7.784,0.06,9.28,10.92,1527,1.003,0.033,-0.667,0.033,0.647,0.02,23,2,10,22," ",280.417,-21.959
"UPK_12",288.805,-22.143,15.337,-14.956,0.217,8.3,8.99,628,0.657,0.085,-6.675,0.106,1.526,0.044,47,0,2,11," ",288.805,-22.143
"NGC_6716",283.616,-19.888,15.397,-9.565,0.099,7.99,9.23,702,-1.454,0.138,-6.038,0.099,1.403,0.042,76,1,11,34,"NGC 6716",283.616,-19.888
"Collinder_394",283.092,-20.229,14.869,-9.268,0.196,7.96,9.23,700,-1.496,0.126,-5.893,0.126,1.368,0.039,155,6,20,60,"Cl Collinder 394",283.092,-20.229
"Ruprecht_145",282.636,-18.27,16.464,-8.027,0.33,8.91,9,629,8.345,0.22,-4.115,0.24,1.657,0.043,219,2,27,85,"Cl Ruprecht 145",282.636,-18.27
"NGC_6583",273.962,-22.143,9.28,-2.543,0.046,9.08,11.56,2053,1.325,0.069,0.094,0.051,0.401,0.027,170,0,69,160,"NGC 6583",273.962,-22.143
"ASCC_97",279.263,-19.139,14.25,-5.553,0.14,8.05,8.89,598,-2.437,0.275,-6.416,0.29,1.752,0.051,20,2,4,10,"[KPR2005] 97",279.263,-19.139
"IC_4725",277.937,-19.114,13.701,-4.425,0.261,8.05,9.22,698,,,,,,,458,19,87,199,"IC 4725",277.937,-19.114
"Trumpler_33",276.159,-19.711,12.395,-3.213,0.048,7.76,10.81,1455,0.452,0.065,0.478,0.048,0.684,0.033,29,5,7,18,"Cl Trumpler 33",276.159,-19.711
"NGC_6568",273.192,-21.612,9.406,-1.662,0.14,8.94,10.17,1079,0.581,0.131,-1.414,0.097,0.926,0.028,150,2,34,98,"NGC 6568",273.192,-21.612
"Dias_5",274.385,-19.707,11.614,-1.736,0.078,6.98,10.58,1303,1.857,0.184,-1.056,0.225,0.744,0.066,60,3,12,19,"Cl Dias 5",274.385,-19.707
"Turner_3",274.393,-18.875,12.351,-1.348,0.02,7.99,11.18,1719,0.528,0.113,-2.464,0.068,0.535,0.025,16,1,7,16,"Cl Turner 3",274.393,-18.875
"Markarian_38",273.819,-18.997,11.985,-0.928,0.044,7.2,11.28,1802,0.812,0.055,-2.307,0.049,0.558,0.041,17,1,4,16,"Cl Mrk 38",273.819,-18.997
"Collinder_469",274.143,-18.309,12.736,-0.871,0.029,6.98,11.92,2422,0.093,0.025,-1.68,0.032,0.412,0.037,24,6,21,24,"Cl Collinder 469",274.143,-18.309
"LP_1218",273.976,-18.099,12.845,-0.632,0.06,8.41,12.02,2536,0.011,0.074,-1.208,0.073,0.366,0.037,89,6,47,84," ",273.976,-18.099
"UPK_5",273.304,-18.308,12.346,-0.177,0.332,8.29,8.84,587,0.682,0.097,-8.434,0.11,1.764,0.043,70,4,5,15," ",273.304,-18.308
"NGC_6603",274.616,-18.409,12.861,-1.314,0.04,8.34,12.18,2727,0.159,0.104,-2.061,0.094,0.315,0.045,401,31,184,382,"NGC 6603",274.616,-18.409
"UPK_7",276.781,-17.401,14.727,-2.637,0.153,8.46,9.47,782,-0.339,0.132,-5.86,0.141,1.254,0.025,31,2,8,21," ",276.781,-17.401
"NGC_6645",278.158,-16.918,15.754,-3.606,0.121,8.71,11.29,1810,1.336,0.085,-0.633,0.09,0.554,0.037,312,16,111,247,"NGC 6645",278.158,-16.918
"UBC_341",276.464,-17.076,14.869,-2.242,0.09,7.34,11.51,2005,-0.212,0.082,-1.543,0.077,0.489,0.029,94,20,68,93," ",276.464,-17.076
"NGC_6613",274.989,-17.089,14.193,-1.003,0.058,7.26,10.85,1477,-0.494,0.056,-0.88,0.09,0.64,0.028,25,1,7,22,"NGC 6613",274.989,-17.089
"UBC_96",273.777,-16.314,14.301,0.386,0.101,8.22,10.96,1554,0.689,0.068,0.913,0.057,0.608,0.029,41,2,19,32," ",273.777,-16.314
"UBC_97",274.782,-15.722,15.296,-0.17,0.11,8.08,10.69,1377,-0.845,0.051,-1.21,0.047,0.723,0.021,33,2,10,25," ",274.782,-15.722
"ASCC_99",282.17,-18.488,16.07,-7.727,0.643,8.55,7.28,285,5.246,0.278,-1.45,0.418,3.377,0.052,62,0,9,15,"[KPR2005] 99",282.17,-18.488
"UPK_13",282.007,-18.281,16.194,-7.497,0.102,8.25,9.89,950,-1.148,0.108,-4.135,0.111,1.059,0.047,86,0,12,35," ",282.007,-18.281
"UPK_18",280.763,-15.325,18.325,-5.119,0.165,8.86,9.47,782,3.066,0.071,0.857,0.09,1.294,0.051,41,0,2,9," ",280.763,-15.325
"UPK_21",282.895,-15.15,19.397,-6.884,0.234,9.06,8.81,578,7.886,0.111,0.684,0.103,1.678,0.035,50,0,13,27," ",282.895,-15.15
"Ruprecht_171",278.012,-16.062,16.452,-3.089,0.113,9.44,10.91,1522,7.714,0.134,1.08,0.126,0.633,0.043,714,3,26,315,"Cl Ruprecht 171",278.012,-16.062
"UPK_17",279.741,-15.034,18.127,-4.114,0.256,8.73,9.31,726,0.938,0.133,-7.936,0.204,1.484,0.046,85,1,19,46," ",279.741,-15.034
"UPK_20",281.145,-14.456,19.257,-5.037,0.401,9.33,8.47,494,,,,,,,64,1,6,10," ",281.145,-14.456
"UBC_32",279.312,-14.096,18.779,-3.305,0.924,8.14,7.24,280,-1.72,0.269,-9.309,0.327,3.564,0.05,59,0,2,10," ",279.312,-14.096
"UBC_343",276.989,-14.72,17.185,-1.599,0.118,7.3,11.74,2229,-0.668,0.076,-2.722,0.083,0.474,0.021,123,14,53,118," ",276.989,-14.72
"UPK_23",282.218,-12.879,21.149,-5.265,0.124,8.04,9.94,972,-0.88,0.05,-2.135,0.008,1.019,0.03,14,0,8,11," ",282.218,-12.879
"UBC_100",281.238,-11.127,22.285,-3.655,0.104,8.2,10.78,1429,-1.106,0.078,-3.357,0.061,0.738,0.031,25,3,10,22," ",281.238,-11.127
"NGC_6494",269.237,-18.987,9.878,2.858,0.292,8.58,9.35,742,0.303,0.204,-1.846,0.194,1.366,0.042,715,14,119,307,"NGC 6494",269.237,-18.987
"NGC_6561",272.659,-16.74,13.436,1.123,0.082,7.27,10.85,1480,-0.003,0.046,-0.797,0.079,0.669,0.022,54,4,14,47,"NGC 6561",272.659,-16.74
"Gulliver_15",272.599,-16.723,13.423,1.181,0.089,7.93,11.55,2043,-0.998,0.114,-1.655,0.077,0.528,0.033,57,1,26,57,"Cl Gulliver 15",272.599,-16.723
"UBC_342",273.914,-14.925,15.624,0.932,0.204,7.15,11,1585,-0.15,0.103,-1.097,0.162,0.61,0.031,66,5,23,55," ",273.914,-14.925
"Trumpler_32",274.294,-13.349,17.17,1.358,0.057,9.13,11.03,1608,-1.044,0.093,1.134,0.095,0.574,0.036,123,1,22,92,"Cl Trumpler 32",274.294,-13.349
"Ruprecht_135",269.511,-11.646,16.405,6.269,0.072,8.81,10.12,1054,1.429,0.068,-1.431,0.078,0.896,0.029,48,0,10,33,"Cl Ruprecht 135",269.511,-11.646
"Alessi_31",267.698,-11.853,15.339,7.709,0.331,8.38,9.26,712,-1.161,0.135,-4.172,0.134,1.48,0.044,164,2,22,55,"Cl Alessi 31",267.698,-11.853
"Dias_6",277.617,-12.33,19.588,-1.027,0.049,9.04,12.01,2524,0.523,0.082,-0.587,0.073,0.334,0.053,190,5,60,182,"Cl Dias 6",277.617,-12.33
"Ruprecht_143",278.174,-12.148,20.002,-1.426,0.045,8.6,12.21,2764,0.744,0.08,-1.1,0.064,0.345,0.035,78,9,57,78,"Cl Ruprecht 143",278.174,-12.148
"NGC_6631",276.79,-12.029,19.48,-0.171,0.049,8.3,12.14,2676,-0.347,0.117,-2.958,0.079,0.364,0.037,74,13,67,74,"NGC 6631",276.79,-12.029
"UBC_345",276.005,-12.256,18.918,0.399,0.129,7.16,11.51,2005,-0.414,0.08,-1.712,0.089,0.456,0.039,43,11,26,43," ",276.005,-12.256
"UBC_344",274.475,-12.083,18.354,1.82,0.161,6.54,11.42,1919,,,,,,,312,74,233,312," ",274.475,-12.083
"UBC_347",276.722,-10.968,20.392,0.388,0.062,8.93,10.8,1443,-1.431,0.035,-4.937,0.073,0.739,0.026,20,0,12,18," ",276.722,-10.968
"UBC_346",276.039,-10.623,20.352,1.136,0.093,9.02,10.94,1543,2.938,0.044,-1.076,0.074,0.604,0.029,31,0,14,27," ",276.039,-10.623
"Ruprecht_144",278.437,-11.425,20.762,-1.321,0.15,7.48,11.01,1591,0.223,0.053,-0.895,0.093,0.567,0.03,32,2,15,29,"Cl Ruprecht 144",278.437,-11.425
"NGC_6649",278.359,-10.399,21.637,-0.78,0.057,7.85,11.64,2124,0.028,0.131,-0.109,0.128,0.469,0.051,478,85,267,478,"NGC 6649",278.359,-10.399
"Ruprecht_170",276.335,-9.995,21.071,1.172,0.071,7.77,11.67,2159,0.464,0.084,-0.169,0.092,0.474,0.036,65,2,28,55,"Cl Ruprecht 170",276.335,-9.995
"NGC_6664",279.125,-8.194,23.943,-0.436,0.102,8.35,11.62,2110,-0.063,0.086,-2.604,0.072,0.467,0.04,178,22,101,173,"NGC 6664",279.125,-8.194
"UBC_573",275.017,-9.46,20.936,2.551,0.074,8.64,11.19,1728,-0.148,0.061,-4.468,0.055,0.548,0.013,17,0,7,17," ",275.017,-9.46
"UPK_27",275.051,-5.167,24.746,4.55,0.157,9.21,9.83,924,2.361,0.071,-2.19,0.105,1.095,0.033,68,1,4,34," ",275.051,-5.167
"UPK_25",267.878,-2.779,23.409,11.957,0.588,8.55,8.89,599,-0.277,0.134,0.206,0.104,1.605,0.033,21,0,3,10," ",267.878,-2.779
"Ruprecht_147",289.087,-16.333,20.93,-12.76,0.652,9.48,7.55,323,-0.871,0.354,-26.694,0.501,3.272,0.093,163,1,12,58,"Cl Ruprecht 147",289.087,-16.333
"Alessi_10",301.233,-10.555,31.597,-21.058,0.266,7.96,8.36,469,1.476,0.166,-7.884,0.167,2.27,0.031,68,0,5,14,"Cl Alessi 10",301.233,-10.555
"UPK_24",282.646,-10.788,23.03,-4.719,1.045,8.43,8.51,502,-3.76,0.111,-9.901,0.162,1.964,0.038,35,0,2,7," ",282.646,-10.788
"UPK_26",283.438,-9.847,24.413,-4.976,0.303,7.86,9.66,855,0.09,0.094,-4.452,0.088,1.099,0.033,42,2,6,18," ",283.438,-9.847
"NGC_6728",284.715,-8.953,25.778,-5.707,0.128,8.78,11.31,1829,1.31,0.066,-1.794,0.072,0.542,0.04,190,15,65,152,"NGC 6728",284.715,-8.953
"UBC_350",284.36,-8.936,25.627,-5.408,0.076,8.37,10.98,1566,0.812,0.039,0.626,0.07,0.57,0.032,26,3,12,21," ",284.36,-8.936
"UPK_31",285.913,-8.51,26.691,-6.582,0.215,8.7,8.65,537,-0.315,0.085,1.149,0.078,1.866,0.046,29,0,1,6," ",285.913,-8.51
"UPK_40",292.631,-6.882,31.222,-11.616,0.676,8.73,9.12,666,0.311,0.139,-9.139,0.161,1.511,0.044,34,1,9,15," ",292.631,-6.882
"UPK_42",293.908,-3.653,34.707,-11.512,0.215,8.32,8.88,595,-0.424,0.099,-5.04,0.121,1.686,0.04,81,0,4,18," ",293.908,-3.653
"UBC_356",288.853,-4.203,31.898,-7.22,0.122,8.01,10.06,1026,-0.541,0.064,-4.959,0.058,0.892,0.025,30,2,11,20," ",288.853,-4.203
"UPK_46",294.707,-1.363,37.18,-11.134,0.362,8.19,9.2,693,0.123,0.087,-8.578,0.104,1.465,0.051,43,4,7,15," ",294.707,-1.363
"Alessi_44",295.325,1.592,40.121,-10.332,1.296,8.35,9.16,679,0.6,0.372,-2.362,0.189,1.502,0.234,169,7,18,53,"Cl Alessi 44",295.325,1.592
"NGC_6694",281.317,-9.386,23.873,-2.908,0.059,8.15,11.42,1921,0.14,0.099,-1.433,0.099,0.514,0.032,162,22,92,157,"NGC 6694",281.317,-9.386
"NGC_6705",282.766,-6.272,27.304,-2.773,0.074,8.49,11.72,2203,,,,,,,1174,118,489,1005,"NGC 6705",282.766,-6.272
"UBC_349",280.081,-7.027,25.396,-0.748,0.111,8.31,11.91,2411,-0.514,0.067,-1.674,0.058,0.399,0.032,148,9,68,143," ",280.081,-7.027
"UBC_102",280.613,-6.904,25.757,-1.155,0.091,8.52,11.37,1877,-1.035,0.047,-2.56,0.077,0.518,0.03,42,2,14,32," ",280.613,-6.904
"UBC_101",279.496,-7.135,25.045,-0.274,0.07,7.45,11.69,2175,-0.244,0.07,-3.08,0.05,0.413,0.018,53,10,36,53," ",279.496,-7.135
"UBC_103",280.633,-6.592,26.044,-1.029,0.066,7.35,12.37,2984,-0.384,0.071,-2.27,0.074,0.294,0.034,97,12,62,96," ",280.633,-6.592
"Basel_1",282.036,-5.876,27.326,-1.946,0.07,8.36,11.33,1846,-0.081,0.055,-4.525,0.075,0.523,0.022,79,4,19,62,"Cl Basel 1",282.036,-5.876
"UBC_104",280.692,-6.257,26.373,-0.935,0.06,7.81,12.41,3028,0.47,0.048,-0.792,0.048,0.327,0.026,61,9,39,61," ",280.692,-6.257
"UBC_352",281.22,-5.849,26.989,-1.212,0.095,6.84,12.81,3653,-1.363,0.047,-3.666,0.03,0.265,0.037,75,23,60,73," ",281.22,-5.849
"UBC_108",281.611,-5.181,27.763,-1.271,0.111,8.87,11,1585,-2.914,0.058,-3.707,0.057,0.633,0.041,46,2,25,41," ",281.611,-5.181
"LP_2068",283.967,-5.094,28.897,-3.303,0.071,8.35,11.47,1969,-0.457,0.073,-4.405,0.091,0.492,0.027,109,6,42,80," ",283.967,-5.094
"NGC_6704",282.687,-5.203,28.22,-2.217,0.037,8.3,11.55,2040,-0.707,0.072,-3.172,0.076,0.425,0.036,124,13,58,113,"NGC 6704",282.687,-5.203
"LP_1235",281.846,-5.255,27.793,-1.495,0.107,8.6,11.5,1998,0.43,0.068,-2.155,0.066,0.48,0.027,164,12,87,157," ",281.846,-5.255
"LP_2117",282.302,-4.466,28.702,-1.54,0.184,8.8,10.89,1507,1.11,0.114,0.061,0.112,0.613,0.04,525,13,136,403," ",282.302,-4.466
"UBC_354",282.378,-4.386,28.789,-1.568,0.095,8.3,11.36,1869,1.195,0.032,0.082,0.104,0.613,0.038,21,3,9,22," ",282.378,-4.386
"FSR_0088",282.667,-4.158,29.143,-1.723,0.067,8.22,12.43,3063,-1.583,0.081,-4.132,0.075,0.245,0.052,176,24,127,175,"[FSR2007] 0088",282.667,-4.158
"UPK_29",278.617,-5.47,26.143,1.259,0.181,8.91,9.17,681,0.474,0.139,2.783,0.144,1.487,0.044,62,0,6,26," ",278.617,-5.47
"UBC_105",280.319,-5.427,26.945,-0.229,0.085,7.92,11.66,2144,0.499,0.089,-1.024,0.075,0.482,0.036,75,12,43,74," ",280.319,-5.427
"UBC_106",280.475,-5.417,27.028,-0.354,0.121,8.2,11.86,2353,-1.047,0.086,-1.358,0.086,0.407,0.031,428,56,230,427," ",280.475,-5.417
"Teutsch_145",280.617,-5.249,27.24,-0.403,0.019,8.62,12.75,3545,-1.431,0.11,-3.589,0.081,0.217,0.068,44,6,42,44,"Teutsch 145",280.617,-5.249
"UBC_107",279.769,-4.8,27.242,0.558,0.085,8.37,11.99,2501,0.996,0.073,-1.699,0.067,0.33,0.037,182,21,117,180," ",279.769,-4.8
"UPK_33",280.046,-4.333,27.795,0.508,0.197,8.45,8.6,523,-0.065,0.143,-10.979,0.142,1.951,0.032,30,1,6,10," ",280.046,-4.333
"Dolidze_32",280.26,-4.054,28.139,0.46,0.092,8.01,11.6,2085,-0.64,0.083,-2.094,0.045,0.475,0.019,17,2,11,17,"Cl Dolidze 32",280.26,-4.054
"UPK_28",277.352,-4.974,25.992,2.606,0.153,8.22,9.84,927,0.807,0.106,-2.573,0.084,1.091,0.032,57,3,13,29," ",277.352,-4.974
"Trumpler_35",280.741,-4.215,28.215,-0.041,0.047,7.59,12.22,2784,-1,0.079,-2.222,0.062,0.344,0.034,39,19,39,39,"Cl Trumpler 35",280.741,-4.215
"UBC_355",281.923,-3.817,29.111,-0.913,0.041,7.39,11.33,1843,-0.684,0.062,-1.881,0.057,0.459,0.03,42,3,25,42," ",281.923,-3.817
"UBC_353",280.854,-3.735,28.69,0.074,0.072,7.47,11.69,2179,-0.622,0.095,-2.194,0.05,0.454,0.026,31,1,18,30," ",280.854,-3.735
"UPK_38",280.829,-1.654,30.544,1.054,0.082,7.16,8.9,601,-1.113,0.103,-5.306,0.117,1.706,0.059,29,1,4,10," ",280.829,-1.654
"Berkeley_79",281.25,-1.146,31.178,0.909,0.046,8.24,11.78,2272,-0.059,0.056,-1.553,0.091,0.403,0.042,77,8,51,78,"Cl Berkeley 79",281.25,-1.146
"UBC_113",285.138,-1.557,32.583,-2.736,0.055,8.63,11.98,2487,0.531,0.072,-0.507,0.051,0.399,0.033,96,0,46,93," ",285.138,-1.557
"UBC_114",286.446,-0.399,34.205,-3.367,0.103,7.7,10.91,1517,-1.476,0.071,-1.932,0.048,0.649,0.024,38,3,13,32," ",286.446,-0.399
"UPK_45",291.696,0.212,37.179,-7.745,0.155,8.02,9.76,897,-0.611,0.097,-2.15,0.119,1.141,0.033,50,1,6,24," ",291.696,0.212
"Berkeley_80",283.591,-1.214,32.185,-1.204,0.037,8.2,11.78,2270,-0.758,0.074,-2.713,0.067,0.403,0.04,72,7,53,72,"Cl Berkeley 80",283.591,-1.214
"NGC_6735",285.155,-0.498,33.535,-2.27,0.105,8.39,11.88,2378,0.077,0.071,-1.313,0.062,0.427,0.027,139,19,87,139,"NGC 6735",285.155,-0.498
"Berkeley_81",285.419,-0.454,33.695,-2.485,0.044,9.06,12.6,3313,-1.168,0.094,-1.94,0.086,0.242,0.052,126,3,90,124,"Cl Berkeley 81",285.419,-0.454
"UBC_357",284.743,-0.237,33.563,-1.779,0.096,6.82,12.46,3100,-1.902,0.074,-4.113,0.082,0.303,0.042,65,22,56,64," ",284.743,-0.237
"UBC_576",284.685,0.433,34.15,-1.432,0.038,7.89,10.61,1322,-0.692,0.057,-3.586,0.093,0.758,0.016,17,3,9,15," ",284.685,0.433
"NGC_6755",286.942,4.224,38.554,-1.696,0.088,8.16,12.11,2647,-0.75,0.088,-3.56,0.084,0.402,0.03,212,33,137,215,"NGC 6755",286.942,4.224
"Czernik_39",286.926,4.337,38.648,-1.63,0.032,8.14,12.57,3265,-1.571,0.047,-4.728,0.045,0.27,0.038,36,8,24,35,"Cl Czernik 39",286.926,4.337
"Czernik_38",282.451,4.965,37.168,2.624,0.041,8.27,11.96,2461,-1.789,0.108,-5.07,0.118,0.381,0.068,167,17,102,167,"Cl Czernik 38",282.451,4.965
"IC_4756",279.649,5.435,36.322,5.325,0.534,9.11,8.53,506,1.271,0.228,-4.954,0.227,2.109,0.052,459,5,64,148,"IC 4756",279.649,5.435
"LP_597",282.104,8.714,40.362,4.628,0.067,8.73,11.6,2087,-0.085,0.088,-1.472,0.065,0.437,0.027,128,3,53,118," ",282.104,8.714
"UBC_14",294.746,3.703,41.734,-8.829,1.068,7.72,9.38,752,0.186,0.188,-2.093,0.146,1.303,0.032,45,2,6,17," ",294.746,3.703
"NGC_6756",287.181,4.711,39.097,-1.684,0.028,7.68,12.5,3166,-1.55,0.089,-3.672,0.089,0.311,0.052,226,49,162,223,"NGC 6756",287.181,4.711
"UPK_55",296.812,10.428,48.675,-7.348,0.259,8.33,9.43,769,-1.441,0.056,-6.893,0.099,1.259,0.023,44,2,9,18," ",296.812,10.428
"UBC_119",290.628,8.41,43.96,-2.999,0.089,9.41,11.1,1659,-1.334,0.049,-2.391,0.075,0.569,0.026,76,1,7,56," ",290.628,8.41
"UPK_50",283.309,8.172,40.421,3.336,0.248,8.34,10.01,1003,-1.317,0.089,-3.804,0.093,0.977,0.055,95,3,9,39," ",283.309,8.172
"UBC_118",282.649,9.763,41.551,4.643,0.11,8.6,10.9,1512,-0.275,0.053,-4.22,0.072,0.652,0.035,84,1,20,54," ",282.649,9.763
"NGC_6709",282.836,10.334,42.14,4.712,0.14,8.28,10.09,1041,,,,,,,246,6,40,106,"NGC 6709",282.836,10.334
"UBC_359",284.793,10.342,43.007,3.025,0.139,7.93,12.33,2921,-2.422,0.143,-4.648,0.09,0.266,0.024,47,14,39,47," ",284.793,10.342
"FSR_0123",287.911,12.037,45.929,1.057,0.042,9.01,12.98,3952,-1.189,0.066,-4.209,0.052,0.218,0.045,123,8,101,126,"[FSR2007] 0123",287.911,12.037
"Berkeley_82",287.845,13.111,46.852,1.611,0.022,8.02,10.68,1365,0.128,0.144,-3.158,0.151,0.721,0.035,23,1,13,19,"Cl Berkeley 82",287.845,13.111
"UBC_360",292.533,10.659,46.85,-3.587,0.044,8.44,12.22,2777,-1.584,0.021,-4.763,0.066,0.321,0.025,20,1,11,20," ",292.533,10.659
"UBC_27",294.337,15.589,52.016,-2.753,0.156,8.77,10.28,1137,-0.809,0.057,-6.242,0.098,0.876,0.028,64,1,10,43," ",294.337,15.589
"UBC_121",288.891,12.844,47.096,0.59,0.069,8.21,11.03,1607,-1.255,0.048,-3.402,0.069,0.594,0.023,47,4,19,49," ",288.891,12.844
"King_25",291.122,13.696,48.86,-0.934,0.052,7.65,12.45,3089,-1.375,0.084,-3.963,0.086,0.322,0.044,122,36,111,124,"Cl King 25",291.122,13.696
"UPK_53",288.544,14.392,48.351,1.591,0.345,8.66,8.97,621,2.448,0.108,1.036,0.121,1.681,0.039,104,2,15,38," ",288.544,14.392
"UBC_361",290.003,15.159,49.649,0.701,0.068,7.56,10.84,1474,-1.706,0.059,-5.286,0.049,0.631,0.024,42,2,15,34," ",290.003,15.159
"Berkeley_45",289.778,15.716,50.029,1.164,0.019,8.79,12.61,3328,-1.353,0.062,-4.598,0.067,0.256,0.059,90,2,63,91,"Cl Berkeley 45",289.778,15.716
"King_26",292.237,14.882,50.417,-1.321,0.036,8.37,11.79,2281,-2.371,0.073,-5.003,0.074,0.411,0.047,76,6,32,71,"Cl King 26",292.237,14.882
"Berkeley_47",292.127,17.362,52.545,-0.041,0.029,7.34,11.93,2437,-1.92,0.06,-5.475,0.072,0.397,0.024,51,19,43,52,"Cl Berkeley 47",292.127,17.362
"Gulliver_28",293.559,18.059,53.813,-0.902,0.555,8.53,9.01,634,-4.473,0.131,-3.475,0.101,1.582,0.066,56,2,5,18,"Cl Gulliver 28",293.559,18.059
"Collinder_350",267.018,1.525,26.952,14.773,0.786,8.77,7.85,371,-4.925,0.377,-0.061,0.179,2.715,0.1,169,2,17,41,"Cl Collinder 350",267.018,1.525
"Collinder_359",270.598,3.26,30.228,12.394,1.562,7.57,8.69,546,0.645,0.146,-8.765,0.23,1.804,0.07,269,4,20,54,"Cl Collinder 359",270.598,3.26
"IC_4665",266.554,5.615,30.514,17.055,0.506,7.52,7.75,354,-0.858,0.236,-8.555,0.213,2.9,0.075,165,5,13,32,"IC 4665",266.554,5.615
"NGC_6633",276.845,6.615,36.122,8.347,0.36,8.84,8.14,424,1.267,0.329,-1.892,0.299,2.538,0.046,147,3,26,57,"NGC 6633",276.845,6.615
"Gulliver_20",273.736,11.082,38.831,13.069,0.704,8.25,8.17,429,1.024,0.201,-6.554,0.235,2.363,0.055,45,0,0,8,"Cl Gulliver 20",273.736,11.082
"Alessi_19",274.741,12.311,40.403,12.71,0.595,7.41,8.79,573,-0.987,0.152,-7.107,0.139,1.711,0.045,59,1,6,16,"Cl Alessi 19",274.741,12.311
"UBC_3",283.799,12.326,44.351,4.766,0.129,8.1,11.16,1704,-0.563,0.03,-1.376,0.06,0.574,0.021,28,8,18,27," ",283.799,12.326
"UBC_120",284.108,13.242,45.305,4.928,0.087,8.27,10.3,1148,1.114,0.101,1.374,0.082,0.849,0.023,28,2,7,17," ",284.108,13.242
"UBC_122",288.142,15.717,49.302,2.556,0.078,7.71,12.13,2671,-0.555,0.071,-3.171,0.065,0.384,0.038,92,11,61,92," ",288.142,15.717
"UPK_54",286.157,15.689,48.425,4.221,0.342,8.07,9.53,807,-0.573,0.089,-5.887,0.085,1.207,0.041,106,4,12,45," ",286.157,15.689
"Berkeley_44",289.313,19.55,53.218,3.343,0.05,9.16,12.28,2863,-0.035,0.072,-2.872,0.078,0.335,0.055,191,4,78,192,"Cl Berkeley 44",289.313,19.55
"Alessi_62",284.026,21.597,52.816,8.685,0.256,8.84,9.07,650,0.263,0.102,-1.15,0.104,1.613,0.032,134,0,12,50,"Cl Alessi 62",284.026,21.597
